Symbol,Score,ENSP
ELMOD1,1.5857754111129696e-05,9606.ENSP00000265840
ADAP1,3.401309230450855e-05,9606.ENSP00000265846
PIK3C2A,9.887021152466068e-05,9606.ENSP00000265970
SLIT1,7.125060114316191e-05,9606.ENSP00000266058
ERP27,5.8063589914825894e-05,9606.ENSP00000266397
LGR5,0.00010649826236390234,9606.ENSP00000266674
TMTC3,0.00010236130932410968,9606.ENSP00000266712
LUM,0.0001041888860014846,9606.ENSP00000266718
KERA,6.340456436362486e-05,9606.ENSP00000266719
CDK2,0.000451258686206566,9606.ENSP00000266970
ERBB3,0.00013466607907457946,9606.ENSP00000267101
RHOF,0.00016763858397802561,9606.ENSP00000267205
RAB20,4.9615087361560584e-05,9606.ENSP00000267328
RAB15,6.049605963113528e-05,9606.ENSP00000267512
TPM1,9.757066849589177e-05,9606.ENSP00000267996
BBS4,0.0004672590447512932,9606.ENSP00000268057
SCAMP2,1.1718743975645101e-05,9606.ENSP00000268099
RLBP1,3.633788122193517e-05,9606.ENSP00000268125
FURIN,0.00017812632093661582,9606.ENSP00000268171
IQGAP1,0.00010325184509319133,9606.ENSP00000268182
EFL1,9.590085715676092e-05,9606.ENSP00000268206
SEC11A,8.066680307505507e-05,9606.ENSP00000268220
RPL3L,0.00010377259469019259,9606.ENSP00000268661
NOB1,5.483538501068782e-05,9606.ENSP00000268802
KIF2B,0.00014957280507338987,9606.ENSP00000268919
SGSM2,3.0190118348419478e-05,9606.ENSP00000268989
LRRC46,5.030695033701135e-05,9606.ENSP00000269025
SSH2,5.745933745757262e-05,9606.ENSP00000269033
CLTC,0.00010232191374331815,9606.ENSP00000269122
MYH10,0.00014194511223346583,9606.ENSP00000269243
ARHGDIA,8.74409497382479e-05,9606.ENSP00000269321
ERBB2,0.00021961012318256866,9606.ENSP00000269571
CIB3,4.501231978776368e-05,9606.ENSP00000269878
CALR3,2.3686818732319906e-05,9606.ENSP00000269881
HUNK,0.00010673653164544973,9606.ENSP00000270112
LRRC56,5.4817151471793496e-05,9606.ENSP00000270115
SOD1,9.764732201601431e-05,9606.ENSP00000270142
AKT1,0.0005265833248538434,9606.ENSP00000270202
RPS11,9.470603228990972e-05,9606.ENSP00000270625
ARHGEF19,2.392777629372393e-05,9606.ENSP00000270747
PLK4,0.0018499673902401582,9606.ENSP00000270861
STYXL2,4.555719129251767e-05,9606.ENSP00000271385
GOLPH3L,1.681781007020056e-05,9606.ENSP00000271732
CNIH3,3.463581021768599e-05,9606.ENSP00000272133
WNT9A,6.345984178144686e-05,9606.ENSP00000272164
ARL8A,1.7052259565928005e-05,9606.ENSP00000272217
PDIA6,7.841724105612655e-05,9606.ENSP00000272227
RHOB,0.00022776325632059116,9606.ENSP00000272233
CALM2,0.00021987097249104754,9606.ENSP00000272298
RPS27A,0.00025529664098940637,9606.ENSP00000272317
VPS54,2.571313640011214e-05,9606.ENSP00000272322
EXOC6B,4.265791222769877e-05,9606.ENSP00000272427
RAB5A,0.00012485130444019648,9606.ENSP00000273047
IQSEC1,2.5926472541207744e-05,9606.ENSP00000273221
LRIG1,4.959508337993855e-05,9606.ENSP00000273261
LRTM1,5.7045667288985e-05,9606.ENSP00000273286
MYH15,9.788318869812262e-05,9606.ENSP00000273353
EPHA5,0.0001009860268684686,9606.ENSP00000273854
ATP10D,1.5331436056950455e-05,9606.ENSP00000273859
SPATA5,7.658387692167448e-05,9606.ENSP00000274008
PLK2,0.0001758531115629753,9606.ENSP00000274289
IQGAP2,5.38949128998399e-05,9606.ENSP00000274364
RASA1,6.36383523664903e-05,9606.ENSP00000274376
MEGF10,4.405461893698487e-05,9606.ENSP00000274473
YIPF5,2.7414976544751217e-05,9606.ENSP00000274496
PSD2,2.134106005618856e-05,9606.ENSP00000274710
LRRTM2,6.765834511817065e-05,9606.ENSP00000274711
CLVS2,1.8641968656097922e-05,9606.ENSP00000275162
GNA12,0.00011412631306417141,9606.ENSP00000275364
EGFR,0.00034454611060510417,9606.ENSP00000275493
EPHA1,0.000128718593402292,9606.ENSP00000275815
CDK16,0.00027764973069371754,9606.ENSP00000276052
RAB41,6.59396288042909e-05,9606.ENSP00000276066
ARHGAP36,3.3773664492502245e-05,9606.ENSP00000276211
MFHAS1,6.603232879235525e-05,9606.ENSP00000276282
UHRF2,3.411841436276799e-05,9606.ENSP00000276893
PLIN2,2.670519225520242e-05,9606.ENSP00000276914
USP6NL,4.03028094938128e-05,9606.ENSP00000277575
LRRC4C,6.740203017847246e-05,9606.ENSP00000278198
IMMP1L,5.436557525764134e-05,9606.ENSP00000278200
PAK1,0.0001298987530188635,9606.ENSP00000278568
LAMTOR1,1.1572075051459251e-05,9606.ENSP00000278671
OVOL2,8.309918888353697e-06,9606.ENSP00000278780
MYL9,9.086803909831506e-05,9606.ENSP00000279022
